dist	tag	x	Q	error
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00031420
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00001365
sequential	quantile	2.8274491	0.90000000	-0.00001000
sequential	cdf	3.1101924	0.99000000	0.00000454
sequential	quantile	3.1101924	0.99000000	-0.00004000
sequential	cdf	3.1384668	0.99900000	0.00000000
sequential	quantile	3.1384668	0.99900000	0.00000000
mixture	cdf	-0.99595413	0.00100000	-0.00000380
mixture	quantile	-0.99595413	0.00100000	-0.00002000
mixture	cdf	-0.96113517	0.01000000	0.00000581
mixture	quantile	-0.96113517	0.01000000	-0.00003000
mixture	cdf	-0.59853610	0.10000000	-0.00007188
mixture	quantile	-0.59853610	0.10000000	-0.00006000
mixture	cdf	-1.2537876e-05	0.30000000	0.00004339
mixture	quantile	-1.2537876e-05	0.30000000	0.00174000
mixture	cdf	9.8455003e-08	0.50000000	-0.00011804
mixture	quantile	9.8455003e-08	0.50000000	0.00000000
mixture	cdf	1.2940840e-05	0.70000000	0.00039787
mixture	quantile	1.2940840e-05	0.70000000	0.00179000
mixture	cdf	0.60049439	0.90000000	-0.00006146
mixture	quantile	0.60049439	0.90000000	-0.00067000
mixture	cdf	0.95919073	0.99000000	-0.00000242
mixture	quantile	0.95919073	0.99000000	-0.00001000
mixture	cdf	0.99679480	0.99900000	0.00000541
mixture	quantile	0.99679480	0.99900000	0.00000000
mixture	cdf	-0.99574802	0.00100000	0.00000476
mixture	quantile	-0.99574802	0.00100000	-0.00001000
mixture	cdf	-0.96057857	0.01000000	0.00001499
mixture	quantile	-0.96057857	0.01000000	-0.00009000
mixture	cdf	-0.60153680	0.10000000	-0.00014775
mixture	quantile	-0.60153680	0.10000000	0.00094000
mixture	cdf	-1.2688235e-05	0.30000000	-0.00021997
mixture	quantile	-1.2688235e-05	0.30000000	0.00020000
mixture	cdf	-7.2433997e-09	0.50000000	-0.00001591
mixture	quantile	-7.2433997e-09	0.50000000	-0.00288000
mixture	cdf	1.2974838e-05	0.70000000	-0.00016900
mixture	quantile	1.2974838e-05	0.70000000	0.00122000
mixture	cdf	0.60127161	0.90000000	0.00017989
mixture	quantile	0.60127161	0.90000000	-0.00011000
mixture	cdf	0.96043243	0.99000000	0.00003145
mixture	quantile	0.96043243	0.99000000	0.00002000
mixture	cdf	0.99632116	0.99900000	0.00000078
mixture	quantile	0.99632116	0.99900000	0.00001000
mixture	cdf	-0.99670318	0.00100000	0.00000103
mixture	quantile	-0.99670318	0.00100000	-0.00001000
mixture	cdf	-0.96281900	0.01000000	0.00000220
mixture	quantile	-0.96281900	0.01000000	0.00009000
mixture	cdf	-0.60772697	0.10000000	0.00006350
mixture	quantile	-0.60772697	0.10000000	-0.00003000
mixture	cdf	-1.2912965e-05	0.30000000	0.00005516
mixture	quantile	-1.2912965e-05	0.30000000	-0.00022000
mixture	cdf	-6.3276489e-08	0.50000000	-0.00023458
mixture	quantile	-6.3276489e-08	0.50000000	0.00004000
mixture	cdf	1.2579898e-05	0.70000000	0.00005861
mixture	quantile	1.2579898e-05	0.70000000	0.00147000
mixture	cdf	0.59053481	0.90000000	0.00006593
mixture	quantile	0.59053481	0.90000000	0.00014000
mixture	cdf	0.95915444	0.99000000	-0.00000392
mixture	quantile	0.95915444	0.99000000	-0.00011000
mixture	cdf	0.99557095	0.99900000	0.00000000
mixture	quantile	0.99557095	0.99900000	0.00000000
mixture	cdf	-0.99577776	0.00100000	0.00000526
mixture	quantile	-0.99577776	0.00100000	0.00002000
mixture	cdf	-0.95950628	0.01000000	-0.00000128
mixture	quantile	-0.95950628	0.01000000	-0.00008000
mixture	cdf	-0.60187268	0.10000000	-0.00012791
mixture	quantile	-0.60187268	0.10000000	0.00025000
mixture	cdf	-1.2994700e-05	0.30000000	0.00015303
mixture	quantile	-1.2994700e-05	0.30000000	-0.00006000
mixture	cdf	-7.7833907e-08	0.50000000	0.00012949
mixture	quantile	-7.7833907e-08	0.50000000	-0.00113000
mixture	cdf	1.2660978e-05	0.70000000	-0.00005258
mixture	quantile	1.2660978e-05	0.70000000	-0.00010000
mixture	cdf	0.60193829	0.90000000	-0.00015320
mixture	quantile	0.60193829	0.90000000	-0.00017000
mixture	cdf	0.96262115	0.99000000	0.00000359
mixture	quantile	0.96262115	0.99000000	0.00002000
mixture	cdf	0.99602204	0.99900000	0.00000274
mixture	quantile	0.99602204	0.99900000	0.00000000
mixture	cdf	-0.99508328	0.00100000	0.00000046
mixture	quantile	-0.99508328	0.00100000	0.00000000
mixture	cdf	-0.95664786	0.01000000	0.00001001
mixture	quantile	-0.95664786	0.01000000	0.00000000
mixture	cdf	-0.59911123	0.10000000	-0.00000818
mixture	quantile	-0.59911123	0.10000000	0.00001000
mixture	cdf	-1.2772738e-05	0.30000000	0.00030561
mixture	quantile	-1.2772738e-05	0.30000000	0.00013000
mixture	cdf	-7.2915968e-08	0.50000000	-0.00012027
mixture	quantile	-7.2915968e-08	0.50000000	-0.00131000
mixture	cdf	1.2549186e-05	0.70000000	-0.00005925
mixture	quantile	1.2549186e-05	0.70000000	-0.00063000
mixture	cdf	0.59709180	0.90000000	0.00005619
mixture	quantile	0.59709180	0.90000000	0.00049000
mixture	cdf	0.95953578	0.99000000	0.00002780
mixture	quantile	0.95953578	0.99000000	0.00002000
mixture	cdf	0.99606614	0.99900000	-0.00000392
mixture	quantile	0.99606614	0.99900000	0.00000000
mixture	cdf	-0.99588137	0.00100000	-0.00000247
mixture	quantile	-0.99588137	0.00100000	0.00001000
mixture	cdf	-0.95763730	0.01000000	0.00004223
mixture	quantile	-0.95763730	0.01000000	0.00000000
mixture	cdf	-0.59800387	0.10000000	-0.00001942
mixture	quantile	-0.59800387	0.10000000	-0.00052000
mixture	cdf	-1.2929341e-05	0.30000000	-0.00014654
mixture	quantile	-1.2929341e-05	0.30000000	-0.00008000
mixture	cdf	2.0203305e-08	0.50000000	-0.00071235
mixture	quantile	2.0203305e-08	0.50000000	0.00022000
mixture	cdf	1.2813821e-05	0.70000000	0.00015102
mixture	quantile	1.2813821e-05	0.70000000	-0.00010000
mixture	cdf	0.60267902	0.90000000	0.00027990
mixture	quantile	0.60267902	0.90000000	0.00000000
mixture	cdf	0.96030727	0.99000000	-0.00001369
mixture	quantile	0.96030727	0.99000000	0.00001000
mixture	cdf	0.99635556	0.99900000	0.00000379
mixture	quantile	0.99635556	0.99900000	0.00000000
mixture	cdf	-0.99596400	0.00100000	0.00000148
mixture	quantile	-0.99596400	0.00100000	0.00000000
mixture	cdf	-0.95969624	0.01000000	0.00002231
mixture	quantile	-0.95969624	0.01000000	0.00009000
mixture	cdf	-0.60410746	0.10000000	0.00007666
mixture	quantile	-0.60410746	0.10000000	-0.00051000
mixture	cdf	-1.2792731e-05	0.30000000	-0.00008572
mixture	quantile	-1.2792731e-05	0.30000000	-0.00029000
mixture	cdf	-3.0062015e-08	0.50000000	0.00019564
mixture	quantile	-3.0062015e-08	0.50000000	-0.00057000
mixture	cdf	1.2544211e-05	0.70000000	0.00002541
mixture	quantile	1.2544211e-05	0.70000000	-0.00031000
mixture	cdf	0.60369946	0.90000000	0.00002694
mixture	quantile	0.60369946	0.90000000	-0.00001000
mixture	cdf	0.96048405	0.99000000	-0.00003096
mixture	quantile	0.96048405	0.99000000	-0.00001000
mixture	cdf	0.99632434	0.99900000	-0.00000010
mixture	quantile	0.99632434	0.99900000	0.00002000
mixture	cdf	-0.99616994	0.00100000	0.00000584
mixture	quantile	-0.99616994	0.00100000	0.00000000
mixture	cdf	-0.95941525	0.01000000	0.00000685
mixture	quantile	-0.95941525	0.01000000	0.00003000
mixture	cdf	-0.60292230	0.10000000	0.00011374
mixture	quantile	-0.60292230	0.10000000	0.00010000
mixture	cdf	-1.2810162e-05	0.30000000	0.00004820
mixture	quantile	-1.2810162e-05	0.30000000	-0.00014000
mixture	cdf	5.5965569e-09	0.50000000	-0.00048155
mixture	quantile	5.5965569e-09	0.50000000	0.00273000
mixture	cdf	1.2746336e-05	0.70000000	0.00007698
mixture	quantile	1.2746336e-05	0.70000000	-0.00006000
mixture	cdf	0.59578827	0.90000000	0.00003184
mixture	quantile	0.59578827	0.90000000	-0.00129000
mixture	cdf	0.95796027	0.99000000	-0.00000905
mixture	quantile	0.95796027	0.99000000	0.00002000
mixture	cdf	0.99605357	0.99900000	-0.00000141
mixture	quantile	0.99605357	0.99900000	0.00000000
mixture	cdf	-0.99571219	0.00100000	0.00000377
mixture	quantile	-0.99571219	0.00100000	0.00000000
mixture	cdf	-0.96034917	0.01000000	0.00003248
mixture	quantile	-0.96034917	0.01000000	0.00002000
mixture	cdf	-0.59706630	0.10000000	-0.00019409
mixture	quantile	-0.59706630	0.10000000	0.00002000
mixture	cdf	-1.2684088e-05	0.30000000	-0.00016662
mixture	quantile	-1.2684088e-05	0.30000000	0.00159000
mixture	cdf	-2.5254228e-08	0.50000000	-0.00037892
mixture	quantile	-2.5254228e-08	0.50000000	0.00111000
mixture	cdf	1.2953774e-05	0.70000000	0.00027003
mixture	quantile	1.2953774e-05	0.70000000	-0.00183000
mixture	cdf	0.60423317	0.90000000	0.00007705
mixture	quantile	0.60423317	0.90000000	0.00015000
mixture	cdf	0.96107977	0.99000000	0.00001473
mixture	quantile	0.96107977	0.99000000	0.00000000
mixture	cdf	0.99495089	0.99900000	-0.00000340
mixture	quantile	0.99495089	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
gamma	cdf	2.0450220e-30	0.00100000	-0.00000198
gamma	quantile	2.0450220e-30	0.00100000	-0.00003000
gamma	cdf	4.1525973e-20	0.01000000	0.00000812
gamma	quantile	4.1525973e-20	0.01000000	-0.00002000
gamma	cdf	5.9056078e-10	0.10000000	-0.00005622
gamma	quantile	5.9056078e-10	0.10000000	-0.00016000
gamma	cdf	0.0058689962	0.50000000	-0.00006418
gamma	quantile	0.0058689962	0.50000000	0.00002000
gamma	cdf	2.6975362	0.90000000	0.00015953
gamma	quantile	2.6975362	0.90000000	-0.00098000
gamma	cdf	15.660532	0.99000000	0.00000388
gamma	quantile	15.660532	0.99000000	-0.00001000
gamma	cdf	33.820605	0.99900000	-0.00000312
gamma	quantile	33.820605	0.99900000	0.00000000
uniform	cdf	0.00083275361	0.00100000	-0.00000234
uniform	quantile	0.00083275361	0.00100000	0.00000000
uniform	cdf	0.0099203520	0.01000000	-0.00000565
uniform	quantile	0.0099203520	0.01000000	0.00004000
uniform	cdf	0.10013996	0.10000000	0.00017751
uniform	quantile	0.10013996	0.10000000	-0.00007000
uniform	cdf	0.50077000	0.50000000	0.00000365
uniform	quantile	0.50077000	0.50000000	0.00005000
uniform	cdf	0.90121625	0.90000000	0.00006772
uniform	quantile	0.90121625	0.90000000	0.00000000
uniform	cdf	0.98980327	0.99000000	0.00002025
uniform	quantile	0.98980327	0.99000000	0.00001000
uniform	cdf	0.99903511	0.99900000	0.00000330
uniform	quantile	0.99903511	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
uniform	cdf	0.0011257772	0.00100000	-0.00000232
uniform	quantile	0.0011257772	0.00100000	0.00002000
uniform	cdf	0.010079200	0.01000000	-0.00000010
uniform	quantile	0.010079200	0.01000000	-0.00005000
uniform	cdf	0.10039589	0.10000000	-0.00032252
uniform	quantile	0.10039589	0.10000000	0.00009000
uniform	cdf	0.50314829	0.50000000	0.00004866
uniform	quantile	0.50314829	0.50000000	-0.00077000
uniform	cdf	0.90002754	0.90000000	-0.00009017
uniform	quantile	0.90002754	0.90000000	-0.00028000
uniform	cdf	0.98996424	0.99000000	-0.00001505
uniform	quantile	0.98996424	0.99000000	0.00001000
uniform	cdf	0.99912366	0.99900000	-0.00000049
uniform	quantile	0.99912366	0.99900000	-0.00001000
gamma	cdf	2.8080771e-30	0.00100000	0.00000568
gamma	quantile	2.8080771e-30	0.00100000	0.00000000
gamma	cdf	3.2971567e-20	0.01000000	0.00002816
gamma	quantile	3.2971567e-20	0.01000000	-0.00001000
gamma	cdf	5.9375218e-10	0.10000000	-0.00021260
gamma	quantile	5.9375218e-10	0.10000000	-0.00002000
gamma	cdf	0.0057016878	0.50000000	-0.00172471
gamma	quantile	0.0057016878	0.50000000	0.00274000
gamma	cdf	2.5636626	0.90000000	-0.00001397
gamma	quantile	2.5636626	0.90000000	-0.00028000
gamma	cdf	15.905609	0.99000000	-0.00000648
gamma	quantile	15.905609	0.99000000	0.00002000
gamma	cdf	34.352912	0.99900000	0.00000035
gamma	quantile	34.352912	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
uniform	cdf	0.00094209094	0.00100000	0.00000638
uniform	quantile	0.00094209094	0.00100000	-0.00002000
uniform	cdf	0.0097600389	0.01000000	0.00001301
uniform	quantile	0.0097600389	0.01000000	0.00003000
uniform	cdf	0.10040377	0.10000000	0.00018186
uniform	quantile	0.10040377	0.10000000	-0.00015000
uniform	cdf	0.50086002	0.50000000	-0.00007138
uniform	quantile	0.50086002	0.50000000	-0.00034000
uniform	cdf	0.90041630	0.90000000	0.00019020
uniform	quantile	0.90041630	0.90000000	-0.00017000
uniform	cdf	0.99014044	0.99000000	-0.00000637
uniform	quantile	0.99014044	0.99000000	-0.00002000
uniform	cdf	0.99912803	0.99900000	-0.00000170
uniform	quantile	0.99912803	0.99900000	0.00002000
gamma	cdf	8.9094185e-31	0.00100000	-0.00000001
gamma	quantile	8.9094185e-31	0.00100000	0.00001000
gamma	cdf	4.0260864e-20	0.01000000	-0.00000660
gamma	quantile	4.0260864e-20	0.01000000	0.00000000
gamma	cdf	6.4654372e-10	0.10000000	-0.00012010
gamma	quantile	6.4654372e-10	0.10000000	-0.00005000
gamma	cdf	0.0060310507	0.50000000	0.00001644
gamma	quantile	0.0060310507	0.50000000	-0.00139000
gamma	cdf	2.6338338	0.90000000	0.00009605
gamma	quantile	2.6338338	0.90000000	0.00046000
gamma	cdf	15.525245	0.99000000	0.00001221
gamma	quantile	15.525245	0.99000000	-0.00004000
gamma	cdf	33.601796	0.99900000	0.00000097
gamma	quantile	33.601796	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
uniform	cdf	0.0010370014	0.00100000	0.00000515
uniform	quantile	0.0010370014	0.00100000	-0.00001000
uniform	cdf	0.010563480	0.01000000	0.00001749
uniform	quantile	0.010563480	0.01000000	-0.00002000
uniform	cdf	0.10021365	0.10000000	-0.00018571
uniform	quantile	0.10021365	0.10000000	-0.00002000
uniform	cdf	0.50144279	0.50000000	0.00029652
uniform	quantile	0.50144279	0.50000000	0.00023000
uniform	cdf	0.90064958	0.90000000	0.00006110
uniform	quantile	0.90064958	0.90000000	0.00019000
uniform	cdf	0.99004486	0.99000000	0.00001038
uniform	quantile	0.99004486	0.99000000	0.00000000
uniform	cdf	0.99904904	0.99900000	0.00000225
uniform	quantile	0.99904904	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
gamma	cdf	1.1053207e-29	0.00100000	-0.00000590
gamma	quantile	1.1053207e-29	0.00100000	0.00001000
gamma	cdf	7.8771274e-20	0.01000000	-0.00004193
gamma	quantile	7.8771274e-20	0.01000000	-0.00002000
gamma	cdf	6.4114436e-10	0.10000000	0.00010242
gamma	quantile	6.4114436e-10	0.10000000	-0.00010000
gamma	cdf	0.0057987177	0.50000000	-0.00017680
gamma	quantile	0.0057987177	0.50000000	-0.00027000
gamma	cdf	2.6502358	0.90000000	-0.00013692
gamma	quantile	2.6502358	0.90000000	0.00086000
gamma	cdf	15.631260	0.99000000	0.00000239
gamma	quantile	15.631260	0.99000000	0.00001000
gamma	cdf	34.321370	0.99900000	0.00000549
gamma	quantile	34.321370	0.99900000	0.00000000
uniform	cdf	0.00092181384	0.00100000	-0.00000115
uniform	quantile	0.00092181384	0.00100000	0.00001000
uniform	cdf	0.0089481758	0.01000000	0.00001272
uniform	quantile	0.0089481758	0.01000000	-0.00001000
uniform	cdf	0.099108358	0.10000000	-0.00007060
uniform	quantile	0.099108358	0.10000000	0.00055000
uniform	cdf	0.49751156	0.50000000	-0.00007539
uniform	quantile	0.49751156	0.50000000	-0.00168000
uniform	cdf	0.89881342	0.90000000	-0.00004032
uniform	quantile	0.89881342	0.90000000	-0.00010000
uniform	cdf	0.98999024	0.99000000	-0.00001730
uniform	quantile	0.98999024	0.99000000	0.00008000
uniform	cdf	0.99893257	0.99900000	-0.00000033
uniform	quantile	0.99893257	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
gamma	cdf	5.4852295e-30	0.00100000	-0.00000067
gamma	quantile	5.4852295e-30	0.00100000	0.00000000
gamma	cdf	1.1284266e-19	0.01000000	-0.00000890
gamma	quantile	1.1284266e-19	0.01000000	0.00000000
gamma	cdf	7.6852741e-10	0.10000000	-0.00037469
gamma	quantile	7.6852741e-10	0.10000000	0.00085000
gamma	cdf	0.0058807930	0.50000000	-0.00065530
gamma	quantile	0.0058807930	0.50000000	-0.00104000
gamma	cdf	2.6772578	0.90000000	0.00039826
gamma	quantile	2.6772578	0.90000000	-0.00124000
gamma	cdf	15.798581	0.99000000	-0.00001003
gamma	quantile	15.798581	0.99000000	-0.00002000
gamma	cdf	33.176986	0.99900000	-0.00000151
gamma	quantile	33.176986	0.99900000	-0.00001000
uniform	cdf	0.00099672044	0.00100000	0.00000404
uniform	quantile	0.00099672044	0.00100000	0.00000000
uniform	cdf	0.0097611733	0.01000000	-0.00000911
uniform	quantile	0.0097611733	0.01000000	0.00002000
uniform	cdf	0.099778405	0.10000000	-0.00000786
uniform	quantile	0.099778405	0.10000000	0.00070000
uniform	cdf	0.50015772	0.50000000	-0.00024160
uniform	quantile	0.50015772	0.50000000	-0.00256000
uniform	cdf	0.89952056	0.90000000	-0.00003188
uniform	quantile	0.89952056	0.90000000	-0.00019000
uniform	cdf	0.99004032	0.99000000	-0.00004131
uniform	quantile	0.99004032	0.99000000	0.00006000
uniform	cdf	0.99900579	0.99900000	0.00000897
uniform	quantile	0.99900579	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
gamma	cdf	1.2449175e-29	0.00100000	0.00000401
gamma	quantile	1.2449175e-29	0.00100000	0.00001000
gamma	cdf	6.8631310e-20	0.01000000	-0.00003971
gamma	quantile	6.8631310e-20	0.01000000	-0.00007000
gamma	cdf	6.1210956e-10	0.10000000	-0.00007818
gamma	quantile	6.1210956e-10	0.10000000	0.00033000
gamma	cdf	0.0059993372	0.50000000	0.00061297
gamma	quantile	0.0059993372	0.50000000	-0.00044000
gamma	cdf	2.6899582	0.90000000	-0.00004890
gamma	quantile	2.6899582	0.90000000	0.00006000
gamma	cdf	16.137893	0.99000000	0.00003638
gamma	quantile	16.137893	0.99000000	0.00002000
gamma	cdf	34.674844	0.99900000	0.00001187
gamma	quantile	34.674844	0.99900000	0.00000000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00006000
sequential	cdf	0.31417497	0.10000000	0.00016756
sequential	quantile	0.31417497	0.10000000	-0.00069000
sequential	cdf	1.5708120	0.50000000	-0.00000361
sequential	quantile	1.5708120	0.50000000	-0.00005000
sequential	cdf	2.8274491	0.90000000	0.00003106
sequential	quantile	2.8274491	0.90000000	0.00028000
sequential	cdf	3.1101924	0.99000000	-0.00001254
sequential	quantile	3.1101924	0.99000000	0.00001500
sequential	cdf	3.1384668	0.99900000	-0.00000200
sequential	quantile	3.1384668	0.99900000	0.00000000
uniform	cdf	0.00087341344	0.00100000	0.00000172
uniform	quantile	0.00087341344	0.00100000	0.00001000
uniform	cdf	0.0097127896	0.01000000	0.00000401
uniform	quantile	0.0097127896	0.01000000	-0.00001000
uniform	cdf	0.099395626	0.10000000	-0.00021061
uniform	quantile	0.099395626	0.10000000	0.00000000
uniform	cdf	0.49787377	0.50000000	-0.00010311
uniform	quantile	0.49787377	0.50000000	0.00044000
uniform	cdf	0.89770918	0.90000000	0.00010678
